,cat_id,area_m2,N,K,source,divide_id
0,86564,2516850.004,10.0,0.182,calibrated,cat-86564
1,86566,2261700.315,10.0,0.179,calibrated,cat-86566
2,86574,6693300.189,9.3686,0.2286,regionalized,cat-86574
3,86576,3388049.428,10.0,0.1823,calibrated,cat-86576
4,86577,3322350.121,9.6307,0.2099,regionalized,cat-86577
5,86578,4417649.978,9.819,0.1987,regionalized,cat-86578
6,86579,4723199.807,9.1446,0.244,regionalized,cat-86579
7,86580,5944949.955,9.1092,0.2471,regionalized,cat-86580
8,86581,3702149.316,10.0,0.1809,calibrated,cat-86581
9,86582,3744449.685,9.9509,0.1906,regionalized,cat-86582
10,86583,4748849.644,10.0,0.1878,regionalized,cat-86583
11,86584,6510600.265,10.0,0.1818,calibrated,cat-86584
12,86586,10873349.667,8.8995,0.2647,regionalized,cat-86586
13,86587,3402900.481,9.9685,0.1895,regionalized,cat-86587
14,86588,6012899.028,9.0269,0.2534,regionalized,cat-86588
15,86589,6602849.77,10.0,0.1885,calibrated,cat-86589
16,86592,7997849.532,9.409,0.2262,regionalized,cat-86592
17,86593,5718150.144,10.0,0.1848,calibrated,cat-86593
18,86598,4901400.198,9.5385,0.2165,regionalized,cat-86598
19,86599,7299449.96,10.0,0.1815,regionalized,cat-86599
20,86601,4090500.108,10.0,0.1829,calibrated,cat-86601
21,86602,9622800.148,9.4498,0.2237,regionalized,cat-86602
22,86614,6784650.252,10.0,0.1784,regionalized,cat-86614
23,86617,4699350.013,10.0,0.1816,calibrated,cat-86617
24,86618,3064950.207,9.9676,0.1893,regionalized,cat-86618
25,86619,7434900.423,8.3299,0.3138,regionalized,cat-86619
26,86620,4265999.892,10.0,0.1841,calibrated,cat-86620
27,86622,3181949.878,10.0,0.1834,calibrated,cat-86622
28,86625,6221699.915,9.2772,0.2349,regionalized,cat-86625
29,86626,7085250.166,9.161,0.2436,regionalized,cat-86626
30,86628,7059150.067,10.0,0.1903,calibrated,cat-86628
31,86629,3792150.027,10.0,0.1807,calibrated,cat-86629
32,86630,4699349.932,10.0,0.1833,regionalized,cat-86630
33,86633,5596200.288,9.7276,0.2047,regionalized,cat-86633
34,86634,4364549.784,9.5445,0.2159,regionalized,cat-86634
35,86635,7865100.526,10.0,0.1939,calibrated,cat-86635
36,86636,7019999.609,8.6847,0.2815,regionalized,cat-86636
37,86637,5323949.645,9.7959,0.2004,regionalized,cat-86637
38,86638,4261050.652,9.2662,0.2349,regionalized,cat-86638
39,86639,7086149.838,8.5993,0.2889,regionalized,cat-86639
40,86642,3380850.153,10.0,0.1821,calibrated,cat-86642
41,86643,6137100.594,8.362,0.3101,regionalized,cat-86643
42,86644,8703900.571,8.6253,0.2872,regionalized,cat-86644
43,86647,5717250.769,10.0,0.1873,calibrated,cat-86647
44,86648,10060200.135,8.8433,0.2691,regionalized,cat-86648
45,86649,7877700.315,10.0,0.1903,calibrated,cat-86649
46,86651,8080199.883,9.4657,0.2222,regionalized,cat-86651
47,86653,3315600.284,10.0,0.1841,calibrated,cat-86653
48,86654,5833800.031,9.6672,0.2085,regionalized,cat-86654
49,86655,4838400.122,9.3899,0.2265,regionalized,cat-86655
50,86656,6801299.919,9.6435,0.2103,regionalized,cat-86656
51,86657,4038749.955,9.9613,0.1901,regionalized,cat-86657
52,86658,4034250.193,9.8562,0.1963,regionalized,cat-86658
53,86679,4670100.126,9.8262,0.1983,regionalized,cat-86679
54,86680,19136700.221,7.9312,0.3569,regionalized,cat-86680
55,86687,8294399.473,8.7682,0.2749,regionalized,cat-86687
56,86688,16079850.553,7.7914,0.3719,regionalized,cat-86688
57,86690,3711150.095,9.9461,0.1909,regionalized,cat-86690
58,86691,3294450.302,10.0,0.1824,calibrated,cat-86691
59,86692,3504599.865,9.0782,0.2484,regionalized,cat-86692
60,86693,1625849.518,10.0,0.1559,regionalized,cat-86693
61,86694,5062950.409,9.9113,0.1934,regionalized,cat-86694
62,86695,7406999.807,8.6021,0.2888,regionalized,cat-86695
63,86696,7289100.193,9.1807,0.2421,regionalized,cat-86696
64,86697,10180350.419,8.4379,0.3044,regionalized,cat-86697
65,86699,3377250.117,9.4707,0.2204,regionalized,cat-86699
66,86700,3955950.531,10.0,0.1845,regionalized,cat-86700
67,86701,6672600.05,8.2856,0.3177,regionalized,cat-86701
68,86703,6587999.5,10.0,0.2101,calibrated,cat-86703
69,86704,9265500.045,8.4417,0.3038,regionalized,cat-86704
70,86705,3596849.464,10.0,0.1829,calibrated,cat-86705
71,86706,5182649.919,9.7661,0.2021,regionalized,cat-86706
72,86708,3539700.216,10.0,0.187,calibrated,cat-86708
73,86709,5531399.505,9.1091,0.247,regionalized,cat-86709
74,86710,10417050.315,9.5647,0.2161,regionalized,cat-86710
75,86711,26707050.162,8.5854,0.2933,regionalized,cat-86711
76,86713,3621600.05,9.2263,0.2375,regionalized,cat-86713
77,86714,4087800.121,9.227,0.2377,regionalized,cat-86714
78,86730,3167550.153,9.682,0.2066,regionalized,cat-86730
79,86731,5538599.833,10.0,0.1219,regionalized,cat-86731
80,86733,3798450.549,9.3168,0.2311,regionalized,cat-86733
81,86734,3982500.175,10.0,0.1988,calibrated,cat-86734
82,86735,11304000.828,8.3729,0.3107,regionalized,cat-86735
83,86741,7868700.495,9.2821,0.235,regionalized,cat-86741
84,86743,8873549.892,9.5223,0.2187,regionalized,cat-86743
85,86744,3307049.995,9.6803,0.2067,regionalized,cat-86744
86,86745,9228150.428,10.0,0.1753,regionalized,cat-86745
87,86748,7051500.274,8.6656,0.2832,regionalized,cat-86748
88,86749,3557250.229,10.0,0.1516,regionalized,cat-86749
89,86750,3822300.355,10.0,0.2001,calibrated,cat-86750
90,86754,13845149.82,8.787,0.2744,regionalized,cat-86754
91,86755,4416749.159,10.0,0.1811,regionalized,cat-86755
92,86756,3577050.495,9.9368,0.1913,regionalized,cat-86756
93,86757,10731600.409,9.7541,0.2041,regionalized,cat-86757
94,86758,1250999.833,9.9027,0.1917,regionalized,cat-86758
95,86759,3689100.751,10.0,0.1693,regionalized,cat-86759
96,86760,4129650.027,10.0,0.174,regionalized,cat-86760
97,86761,7118999.586,8.948,0.2599,regionalized,cat-86761
98,86763,6550200.0,9.2048,0.2402,regionalized,cat-86763
99,86764,4725450.774,8.7161,0.278,regionalized,cat-86764
100,86765,8180549.375,8.6371,0.286,regionalized,cat-86765
101,86766,3749399.518,9.6307,0.2101,regionalized,cat-86766
102,86767,3017699.856,10.0,0.1781,regionalized,cat-86767
103,86768,3215700.122,9.8223,0.1979,regionalized,cat-86768
104,86769,3532050.059,9.8173,0.1984,regionalized,cat-86769
105,86770,4877999.64,10.0,0.1815,calibrated,cat-86770
106,86774,9300600.261,10.0,0.1983,calibrated,cat-86774
107,86777,6090299.923,8.9353,0.2606,regionalized,cat-86777
108,86778,6651449.797,8.8977,0.2638,regionalized,cat-86778
109,86779,10246050.724,8.9753,0.2585,regionalized,cat-86779
110,86781,6344999.352,9.1788,0.2421,regionalized,cat-86781
111,86782,9898199.663,10.0,0.1971,calibrated,cat-86782
112,86784,4140000.265,10.0,0.1898,calibrated,cat-86784
113,86786,3438449.636,9.9147,0.1926,regionalized,cat-86786
114,86787,7078949.644,8.6724,0.2826,regionalized,cat-86787
115,86788,5409900.423,9.3557,0.2291,regionalized,cat-86788
116,86790,7021350.283,10.0,0.1869,calibrated,cat-86790
117,86793,3629249.302,10.0,0.1855,calibrated,cat-86793
118,86795,3517199.883,10.0,0.1848,calibrated,cat-86795
119,86796,8186399.838,9.4752,0.2216,regionalized,cat-86796
120,86797,7298099.663,10.0,0.1999,calibrated,cat-86797
121,86798,10667250.009,8.9008,0.2645,regionalized,cat-86798
122,86806,5901299.113,10.0,0.2088,calibrated,cat-86806
123,86807,4203000.302,10.0,0.1862,calibrated,cat-86807
124,86808,4863600.441,10.0,0.1769,regionalized,cat-86808
125,86809,5566949.307,8.8767,0.265,regionalized,cat-86809
126,86811,3662550.256,10.0,0.1848,calibrated,cat-86811
127,86812,8538299.469,8.4258,0.305,regionalized,cat-86812
128,86815,4174650.599,8.9618,0.2577,regionalized,cat-86815
129,86816,7827750.639,8.51,0.2971,regionalized,cat-86816
130,86817,3207149.901,9.5381,0.2158,regionalized,cat-86817
131,86818,6838199.842,8.7878,0.2728,regionalized,cat-86818
132,86819,5079149.721,9.2811,0.2342,regionalized,cat-86819
133,86820,3613049.829,10.0,0.1855,calibrated,cat-86820
134,86821,7341750.531,9.6037,0.213,regionalized,cat-86821
135,86822,3004650.063,10.0,0.1544,regionalized,cat-86822
136,86823,7964999.46,8.4289,0.3046,regionalized,cat-86823
137,86824,3706200.031,10.0,0.1819,calibrated,cat-86824
